Got it — from now on, whenever you add or update entries in this portfolio database, I’ll always double-check the **dates** and reorder the table according to your rule: sort by **ending date precedence** (Present > latest end year > earlier end years).

Here’s the current corrected version with a new **Learning / Reflection** column added, plus the new content and media projects integrated:

| **Project / Role**                                                                     | **Meta Tag (Stage)**   | **Domain Tags**                                       | **Years**      | **My Role**                             | **One-liner / Key Outcome**                                                                                                      | **Learning / Reflection**                                                                                                 |
| -------------------------------------------------------------------------------------- | ---------------------- | ----------------------------------------------------- | -------------- | --------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------- |
| RTIMS International Study Tour (Real-Time Information Management Systems)              | Ongoing / Active       | Innovation, Technology, International, Learning       | 2025 – Present | Project Director                        | Coordinating executive stakeholder focus group, site engagements, learning reports, and business case development.               | Still in progress — early lessons on executive engagement models and international benchmarking.                          |
| National Advisory Council on Innovation – Science Parks Subcommittee                   | Advisory / Board       | Innovation, Policy, Science Parks                     | 2025 – Present | Subcommittee Member                     | Advising on national science and innovation park strategies and frameworks.                                                      | Insights forming on the role of governance in enabling innovation parks; importance of balancing agility with policy.     |
| Advertising Analytics Advisory Board                                                   | Advisory / Board       | Marketing, Analytics, Data                            | 2023 – Present | Advisory Board Member                   | Advising on analytics-driven strategy and product positioning.                                                                   | Observing how data-driven insights reshape advertising models; learning the limits of analytics without context.          |
| SA Innovation Summit – Ecosystem Platform                                              | Ongoing / Active       | Innovation, Ecosystem, Partnerships, Events           | 2020 – Present | CEO / Ecosystem Lead                    | Scaled multi-stakeholder platform; 15,000+ attendees; multi-year sponsorship runway of $2M+.                                     | Learned the need to balance large-scale convening with year-round value creation and diversified income streams.          |
| **FutureSight Africa Newsletter**                                                      | Ongoing / Active       | Futures Thinking, Foresight, AI, Innovation, Writing  | 2023 – Present | Author / Curator                        | Producing FutureSight Africa — a newsletter exploring the intersection of African innovation, foresight, and technology.         | Reinforced consistency in thought leadership and developed discipline in articulating foresight-driven insights weekly.   |
| **ARK Invest Big Ideas Review Newsletter**                                             | Completed / Case Study | Fintech, Research, Analysis, Technology, Innovation   | 2021 – 2022    | Author / Analyst                        | Published analytical reviews of ARK Invest’s annual “Big Ideas” reports, contextualising them for African markets.               | Learned how to critically assess frontier technologies through an African lens; improved analytical writing depth.        |
| **Ubuntu Dreams Podcast**                                                              | Completed / Case Study | Media, Storytelling, Philosophy, Personal Growth      | 2020 – 2021    | Host / Producer                         | Hosted and produced podcast episodes exploring identity, creativity, and purpose through African and global perspectives.        | Learned audio storytelling and deepened skills in connecting personal narrative with broader cultural themes.             |
| **E³ Podcast – Education, Entrepreneurship & Employability (Department of Education)** | Completed / Case Study | Education, Entrepreneurship, Employability, Media     | 2019 – 2020    | Host / Facilitator                      | Led podcast series under South Africa’s Department of Basic Education exploring the E³ framework and innovation in education.    | Gained insights into public–private collaboration models and the complexity of educational reform in emerging contexts.   |
| **Content Creation & Thought Leadership Platform**                                     | Ongoing / Active       | Media, Writing, AI, Innovation, Foresight, Philosophy | 2024 – Present | Content Creator / Strategist            | Developing content ecosystem across multiple platforms (LinkedIn, Substack, YouTube) on innovation, AI, and African sovereignty. | Building a coherent personal media brand while exploring how digital storytelling intersects with strategy and foresight. |
| Johannesburg Culinary Advisory Board                                                   | Advisory / Board       | Food, Culture, Ecosystem                              | 2023 – 2025    | Advisory Board Member                   | Providing strategic guidance to Johannesburg’s culinary innovation ecosystem.                                                    | Early lesson: culinary innovation requires blending cultural authenticity with market scalability.                        |
| Startup20 Taskforce                                                                    | Advisory / Board       | Startups, Policy, International                       | 2025           | Member                                  | Representing and contributing to Startup20 global innovation policy dialogue.                                                    | Building appreciation for how international policy frameworks translate unevenly into local startup ecosystems.           |
| SA–Switzerland Blockchain & CleanTech Innovation Challenges                            | Completed / Case Study | Innovation, CleanTech, Blockchain, International      | 2022 – 2024    | Project Director                        | Directed two-year bilateral innovation challenges bridging Swiss and South African ecosystems.                                   | Learned the complexities of bridging two ecosystems — trust-building and cultural understanding were key.                 |
| TechTribe Accelerator – Virtual Program                                                | Completed / Case Study | Acceleration, Startups, Mentorship, Virtual           | 2020 – 2024    | Co-Founder / Program Director           | Supported 3,500 startups; $20M+ raised; mentored 200+ founders.                                                                  | Virtual delivery works at scale but sustainability requires deeper funding partnerships, not just programme design.       |
| Africa’s Business Heroes – Southern Africa Anchor Partnership                          | Completed / Case Study | Partnerships, Startups, Investment, Ecosystem         | 2021 – 2023    | Project Manager → Project Director      | Led partnership delivery; supported African founders through ABH platform.                                                       | Learned how visibility platforms can drive impact but need stronger follow-on support structures for entrepreneurs.       |
| AndAfrica Investment Platform                                                          | Completed / Case Study | Investment, Platform, International, SaaS             | 2018 – 2019    | Executive / Platform Builder            | Raised $100K seed funding; built cross-continental SaaS investment bridge.                                                       | Showed early promise but highlighted challenges in scaling cross-border SaaS investment platforms in Africa.              |
| Mining Innovation Project                                                              | Completed / Case Study | Innovation, Strategy, Mining, Consulting              | 2017           | Senior Strategy & Innovation Consultant | Delivered strategic innovation; unlocked 5x forecasted return.                                                                   | Learned how innovation frameworks must adapt to legacy-heavy sectors like mining to achieve adoption.                     |
